"path","provenance_class","classification_basis","sha256"
"configs/alfworld/soft_prefix.yaml","upstream_modified_locally","Tracked by upstream/main and modified in this working tree","c63f266d986c73e79712f8337c060443d065d59742958cdca4f14b57c955f986"
"configs/alfworld/soft_prefix_rej.yaml","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","30f2147abec3e6d1e191dc681fa2213326b1a54b459e979200d67f4031dd886f"
"configs/docvqa/default.yaml","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","f3e5788ba76d3d5e079059a6211fb6a0414ea251eba1df11939afed971c4a479"
"configs/docvqa/lora.yaml","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","414e9c448e9ef82c820e8739aa376dcbeb6cc820223024088b60b0c38f98b09d"
"configs/docvqa/soft_prefix.yaml","upstream_modified_locally","Tracked by upstream/main and modified in this working tree","4b7c848d8734579bae7bc456559f51dd367280e31eeb30ad32f0321746b3b803"
"configs/docvqa/soft_prefix_2x16.yaml","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","91fcc24409c8c597449cbc32ed3ad7c4fb88f7f2cd9275ae446b4b84b5758fe4"
"configs/features/soft_gate.yaml","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","b4acdc13596bf249f86114cd83ae58255a50c1ac07823795ddd4e8cbe9e4f7c7"
"configs/livemathematicianbench/default.yaml","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","f285f82e27e227dd5e2cc7ed16a1e3ae427095ee538067ae69de1c375ae1ea99"
"configs/livemathematicianbench/lora.yaml","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","8d8f3337c72568fd20739d02c7b62420195f6d89d91b8c1005284925edb89404"
"configs/livemathematicianbench/soft_prefix.yaml","upstream_modified_locally","Tracked by upstream/main and modified in this working tree","bb3bf5919ea1446ad85c793e8a89c4019d3da5e588ea6961616894f05ff58c3b"
"configs/livemathematicianbench/soft_prefix_2x16.yaml","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","a0dbcc06df7d159434757d220518c267e9e722187fdd81787625d3eee1d927d2"
"configs/officeqa/default.yaml","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","02799c9bdba178609d2e65b318ff30ccf6cc12d18ed8c6f2175ffd62608676d8"
"configs/officeqa/lora.yaml","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","ffab26af2415294d99784b8524b814c702d4ba71d210ae7c0b5e7916891082da"
"configs/officeqa/soft_prefix.yaml","upstream_modified_locally","Tracked by upstream/main and modified in this working tree","e7514a983ed82df643ce633377478c23c70e47623e9303ac8f2e463e55c793d2"
"configs/searchqa/default.yaml","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","5ddc31594e55735cd389dbae0c80dce299f3edaf615b7d8d23918def8618333a"
"configs/searchqa/lora.yaml","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","93961d3b1c7f1cc778a8caa7eb0752d606546cf5cfe061ddb8d11fc5bc5c9603"
"configs/searchqa/soft_prefix.yaml","upstream_modified_locally","Tracked by upstream/main and modified in this working tree","6028383b63e69a38740c3047fbdaec6fd90733bcdb7d88241be0670465c2916e"
"configs/searchqa/soft_prefix_2x16.yaml","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","35072f5265609714e4d3f8260bca41193c50ba142a3cae871af0a8e8fd1e3ae9"
"configs/spreadsheetbench/default.yaml","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","0baef2d206940d8660471dac0332f2f80c591b3c3ed465558ee67f0a40a95b17"
"configs/spreadsheetbench/lora.yaml","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","2c0c3cea9b1f375f3c64359e44ebfc4049103ca491de9d7cee1700a8f0e16812"
"configs/spreadsheetbench/soft_prefix.yaml","upstream_modified_locally","Tracked by upstream/main and modified in this working tree","a1dac7d2ed4ada96bab8c36906bfe930ded342134ae044713db8a86728df79b6"
"CONTRIBUTING.md","upstream_modified_locally","Tracked by upstream/main and modified in this working tree","f3a5ca803286fcaec6506bf769831abf1c50aa0e6612ec4f8a7e74e70f0381b8"
"data/alfworld_path_split/split_manifest.json","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","716e99219c901e88ada21f92a4688d0e0cd0d7d47949ca51060d7ecad96f98bd"
"data/alfworld_path_split/test/items.json","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","4b84c14428915a611e5e0b39488b42d50fafbeb94ea0cada82764491e6c66904"
"data/alfworld_path_split/train/items.json","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","5eef92f8da876f591f2f56cb248a103c76a95638fc91ac956265786599361a0c"
"data/alfworld_path_split/val/items.json","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","6df21b924d2ff4e3c231605307a45e750af11cfa78e02bb2d35d300d8d1d48ed"
"data/docvqa_id_split/split_manifest.json","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","d69cde493684e6be394cc49a80bda2389b35f0af02e41284d0aab6ff74c55177"
"data/docvqa_id_split/test/items.json","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","76df1a12ffe53b0fbb221060898f5197cd399ae2eada3d48606754abd6338e17"
"data/docvqa_id_split/train/items.json","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","dc75c6a022719f4fb96469e4169e875d1836256f3a3f0de69d9bda1ae904afe2"
"data/docvqa_id_split/val/items.json","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","3c504e538b8fa6913d54e3e1af23341c4f485f604f58e9448659be2c8f5ce86d"
"data/livemathematicianbench_id_split/split_manifest.json","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","44bae0be562dc3b4a0404d7e8f4ed18cc7d295c03a1a77b661db6f098770d74c"
"data/livemathematicianbench_id_split/test/items.json","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","4b396d4281f710e4b80eb05742faac315a100529ca2ed27297c0c100fd940d4d"
"data/livemathematicianbench_id_split/train/items.json","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","8bf73eb169165a82a86f12d3d026a6f7a4579c7655717c200033d493dfd2a3e8"
"data/livemathematicianbench_id_split/val/items.json","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","e6ead016f056a9f35f587a70810046fb6bd78c2af55eead3798b13abbcd3d876"
"data/officeqa_id_split/split_manifest.json","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","a9ef22cfd14cbeb4c792ec42d0f9969bb31449c463279e0bf6cd6cdccf042b45"
"data/officeqa_id_split/test/items.json","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","f48b5cd018e82d2fb9de0d7bf23bd13cf402477194655b5edafec1c60c46c14d"
"data/officeqa_id_split/train/items.json","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","72016d023e36d4b1bc40b9d5a7cab7a3e3402a7e382b05fa2d2d4f7527457268"
"data/officeqa_id_split/val/items.json","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","69a3dce1e283ae3cb5dbf57bd59f679af710155148ad0f19dae2d39e13ffb17d"
"data/README.md","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","c5a51491945b36042d0932d21920ac2f67aa940802603494a2a2fdd0f0b28406"
"data/searchqa_id_split/split_manifest.json","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","85295dc2960c3f00d585ade44b87be7728ef20a2347f551bc0531e75088d582a"
"data/searchqa_id_split/test/items.json","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","9750dca312e5cdc14f99bbcbdf94d2abafe3f2fc242be98ce9f6c36bc3f1df6d"
"data/searchqa_id_split/train/items.json","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","86ba477accef4d4104e55b0a6e81a72c1e0e6009fcd0acaa1f8b138050011fec"
"data/searchqa_id_split/val/items.json","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","b3d94e9a187b048139440ab03436b6c1cc4f000f7f609f05e3fb244ab4d5836d"
"data/spreadsheetbench_id_split/split_manifest.json","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","5d9c40cbd9cc539449a538fcd3aacbb7571b224bbc87c8bdeeb823349210978a"
"data/spreadsheetbench_id_split/test/items.json","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","4d20489bf67050892c794665f75fe3acfc1042c0cdda60e30ebb7a4ca24f8a35"
"data/spreadsheetbench_id_split/train/items.json","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","d05bbe942c38ae2d110124fb5258dde09e232c11e142ac57c6a017af67968880"
"data/spreadsheetbench_id_split/val/items.json","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","d9d6625280e3aa731aae58ecb819ed96ff6382278034a9b659cb141d0942d060"
"docs/assets/qa-compression-diagnostics.png","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","b6a6a6c72a1f54dff0c98244209025ae3cce21f88cb86ea82788519b4a843763"
"docs/assets/softskill-teaser.png","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","18aca166d698ade469386f9741a7813015cdc97a8b1d3d96c1108dd2670e6a7c"
"docs/guide/new-benchmark.md","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","91321c5b7b59908485210edb56d770cb5b5fe59cc041c6dd7e01b2bba64f5ded"
"docs/guide/softskill.md","upstream_modified_locally","Tracked by upstream/main and modified in this working tree","5c4e72cba1b76e6e1f2eed2a00bcf38a4ec7ca2bbc896ae2edbcc122ad88fb30"
"docs/guide/softskill_v2.md","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","54c61715f4845e16afb63559eccf39c7d71a5f2dee1310cad7c5e48655259b7c"
"docs/index.md","upstream_modified_locally","Tracked by upstream/main and modified in this working tree","829518c15c112953d7bfd149d0b66f4c2e0946c63d6c3c63dc492a374eb32dd3"
"docs/release.md","upstream_modified_locally","Tracked by upstream/main and modified in this working tree","ad4d6cd9a0121dbe566d14161ab205d3062fef11516809787c85c43169e713ba"
"docs/undergraduate_exploration.md","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","1f76b824acb61d6c19bd3fde5205c348e709c7b454a17e9d2a7314754b42068f"
"eval_prefix_interventions_v2.slurm","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","63da45d809f51bebe27dc65ebb90aafd077027aa5c651eab5cd62413677e14ec"
"export_and_analyze_prefix_states_cpu.slurm","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","4ef3834f3dfd8155536fb10578a2667f115a1e73d29c3fbb7f8daf8339433172"
"LICENSE","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","524dbba6287574f83bc95781d27978941c048d7338ef3e35d6d1b5bdb9db3490"
"LOCAL_CHANGE_SUMMARY.md","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","80993b979b326a3b26d98a6c193e3ed19ff7a66e335635a08d6957047a026ee5"
"mkdocs.yml","upstream_modified_locally","Tracked by upstream/main and modified in this working tree","264ee76c45318d7b8ddda65fab01fcfa6d8f39f78ed24626a4dd3f7e5c5309e4"
"PROVENANCE.md","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","3ff273359d242f22811128be6f2b23e6837758ecf7774894468e789c16fa0dbc"
"PUBLIC_RELEASE_CHECKLIST.md","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","66ae044c8c4634b99d9603649e940bba814cd697d63d87b0eb303da67face94d"
"pyproject.toml","upstream_modified_locally","Tracked by upstream/main and modified in this working tree","5b5555eb1ad16ef31dd6b315d761e2496fd3f58160fe4c56f1860def7b582c2f"
"README.md","upstream_modified_locally","Tracked by upstream/main and modified in this working tree","323a2775ee5fc48af90dc49eca43521f2662a71d4e8b6c2eb6cba7c9627a2a94"
"requirements.txt","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","ae6c00faca250a18256f124113004ffe5734a3b2dba1f3035e13da0bc4940b91"
"scripts/__init__.py","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"scripts/analysis/__init__.py","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","e36fa17a68cd5fa5a48f2925a71f3903b382b08c97fab022c3806cb8caeccafe"
"scripts/analysis/compression_metrics.py","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","081994ee64a535402a01fd151d06227880b22c0f30d9f15162b895b55b46d515"
"scripts/analysis/convert_soft_prefix_vocab.py","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","575158e64ffd66b96266c00bd33b8553b26cdd2f25fa58ed7e70bea7172a4926"
"scripts/analysis/interpret_soft_prefix.py","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","2bd402aabf1e79d9fe02504435f786a035dfc38871a39a558ea958aeb4915769"
"scripts/analysis/interpret_soft_prefix.sh","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","dd76ba990bab602d7cf4fe3c500bc2274931da5221942e21e4bfc644b8296a4c"
"scripts/analysis/reconstruct_rollout_cache.py","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","dd6ddc0f734a719be26ec70ed37fa7c237e5223905be5246516747e49b22d710"
"scripts/analysis/visualize_prefix_similarity.py","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","274f044f8603cff3f89e9fc3e7e4b1db152992a670fb085e894b5fac5791a2c6"
"scripts/analysis/visualize_validation_checkpoints.py","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","156447f4bf441c5ee8ad1ce7ba41cdaef675944b22d8edeffb21c0d84ed5bbb7"
"scripts/analyze_behavior_compression_v1.py","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","1d1aa57d29b06d6a43d3ef03fd6bbcebe6162c63b903904df0d7a6c717dfc21e"
"scripts/analyze_prefix_similarity.py","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","39b4622bbddc9a7c6da25d48c098372f7c317aed54021921687433d8b890b9f5"
"scripts/analyze_prefix_state_trajectory.py","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","dc6db11c8412c66151c8506de186bf7e7350784ad01abe087cb5cfd0ad56403d"
"scripts/audit_new_task_data.py","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","c78f99991acea63353f8df56d755edfcb1b85a03f18ef97b1bc5b297313631cd"
"scripts/avg_conversation_turns.py","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","ae26d2fe0f9dda11a0d5dd707ae7c320d27e3ce4709fb6ab262018f3909e28d8"
"scripts/data/__init__.py","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","e36fa17a68cd5fa5a48f2925a71f3903b382b08c97fab022c3806cb8caeccafe"
"scripts/data/prepare_alfworld.py","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","fdfc6e8c44158f09f4fb05f8ffcab47de23a9584ed76885f5c068ebb7af754c6"
"scripts/data/prepare_docvqa.py","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","6f719a4fd087ee8f093db3e6c3b0436795b1a52d4fd9b4e7b78bf6914917d993"
"scripts/data/prepare_gpqa.py","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","fdb5f07ad787f9d20369e51854114e2f4469e585f41bd2970045358b75313d9c"
"scripts/data/prepare_livemath.py","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","0afd390cedde1f55e66b24659d4ecb9e044eca9f8d51ddab9fb452d325109575"
"scripts/data/prepare_ocrbench.py","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","5ad285392b656b1da0f34930728bb9ee8d522cd19d5560d0197d3c9e9a52b7d5"
"scripts/data/prepare_officeqa.py","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","4d8ee0a094b35c591d5f5725d173f87295c5159271011a4ae71618392a737643"
"scripts/data/prepare_searchqa.py","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","b244b974123df7de3cbeca1e22f56379ab3bdf24f3a3bfa75be6bf6088bf2583"
"scripts/data/prepare_spreadsheetbench.py","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","b0ec4f3e1106b4d532753c456c665d07469ddcdfdd01a5a16f1446f873dcb684"
"scripts/eval_baseline.py","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","da35b6bcaf51dd299a4aaf1bfd64a23a8d7a7be9a20b6122f5ca71a2d5e53d12"
"scripts/eval_only.py","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","70e95c3a211518ef312c1bfa4abcb35f9fed79ab4d8107350d506c68bde3ac17"
"scripts/eval_prefix_interventions_v2.py","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","51091cc3827bada8dcca1e0134aac72901d99ee9defd0073d56cd2ab3560c286"
"scripts/experiments/diagnose_drop_i32_first_sample.py","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","a64fe3fb86360177d402b309f825c8dd30a62d7d2b7c0ad2bf31a8483b8eca4d"
"scripts/experiments/eval_cross_model_transfer.sh","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","2795dfbf58546c97798ad1c9642e4b0aba3c70e8a861c179fd7b0676ce8527da"
"scripts/experiments/eval_noskill.sh","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","7dc805123fafadeb15f9544239992fe7c30249fd9079f8330c2790dd5202d711"
"scripts/experiments/hpc_env.example.sh","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","94248d22f41b61cfea895e8633023f742d6608010df16be3d9b8be83f4a01a46"
"scripts/experiments/resume_drop_i32_seed1.slurm","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","8bb270a6ea250ac4ff0212313623e9b5a9923db7324bd73816c3ab5a7173bddc"
"scripts/experiments/run_soft_prefix_experiments.sh","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","c7e37926efe75cbe77b1abd993dd3215547b20d6188a0cacecdaca10b79f129a"
"scripts/experiments/smoke_behavior_compression_v1.slurm","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","67e65a6fb70442ad36b98180f9863cea9a2563a0f39e45893a2477acb4459e26"
"scripts/experiments/train_behavior_compression_v1.sh","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","8a8b6ba9b32f92b8799d4adc51d744c217ccc1b1fa1af94a698deee723f180b4"
"scripts/experiments/train_behavior_compression_v1.slurm","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","587031fbadafc054cf5971476fdcc6d9ca9c40e1ecfbe7d2da257e5e87033702"
"scripts/experiments/train_behavior_compression_v1_pair.sh","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","99bda9a8463be8a4f17b32aa7ecd33500ce6acb5e1eafd559fa8a8781f7ce84d"
"scripts/experiments/train_behavior_compression_v1_pair.slurm","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","40adabcd0193053697b216333566be0042029a6297e066b9ea8001ca7d24cfc7"
"scripts/experiments/train_fixed_budget_2x16.sh","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","d535e1c58870e0aab34cf09ad22d5268b0202ff64759984dd1704c61a322f8e2"
"scripts/experiments/train_fixed_budget_joint_2x16.sh","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","b8fc27cb8d85336d96d6d87eba7a1c14b71c92ec6b895e1659490f9c11b51c90"
"scripts/experiments/train_fixed_budget_joint_2x16_direct.sh","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","3557403a041ccf619c1d786f8497e0d7be9f1df2312eaeae4a269b8f39810923"
"scripts/experiments/train_fixed_budget_shared16_task16.sh","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","6aa84cff2c2294185093bb264787d135c733f8f9cf6f4da44d81d03ffdf8c403"
"scripts/experiments/train_fixed_budget_shared16_task16_direct.sh","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","657aa3dfb1d5e5791f1b502854d6b8f909c40532d30d46f60eaed2add8c6598c"
"scripts/experiments/train_hybrid_shared_behavior_task_hard.sh","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","fa2b80eaffd4c60662bea76e095a05c19f78edeb9fbc952798ffc8f4076bb758"
"scripts/experiments/train_hybrid_shared_behavior_task_hard_residual.sh","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","a4616294e3e7d0bcf6aeec01c15284478276f77d416a79a2361ca61252fba1b0"
"scripts/experiments/train_hybrid_shared_behavior_task_hard_residual_three_seeds.slurm","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","8d3aaf088697f84fb7d319850b2171c74002c88f271c69463b51843522cc28c5"
"scripts/experiments/train_hybrid_shared_behavior_task_hard_three_seeds.slurm","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","57ca6fdd6b9d889b403ff1170791723ad29a60bffb6c233857bc72caf12679ed"
"scripts/experiments/train_new_task_transfer_chartqa_seed1.slurm","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","d43eb60d5d19c3d9325375e2c114aaf25e3058f53d7c8aa0cb2ca2cca28413ed"
"scripts/experiments/train_new_task_transfer_drop_seed1.slurm","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","6fb3fa03abe8186d0fef20e89a4bca79c38f6c71eaa987540087b4b749123c37"
"scripts/experiments/train_v2_four_cell.sh","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","bc599aa27af3cfceb9ff6211a49c2371862931bc3f7cd3ca8c2732fbe91e0225"
"scripts/export_prefix_states_v2.py","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","d03a3e9e7f379e782ca3bc4b9420debb362167485f3070d970214264bb134a78"
"scripts/remove_trailing_error_turns.py","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","e6bb15ab4c9538417a6b33405670c8fc569d3f8ce2e9a625ad177e18bd45a488"
"scripts/requirements_prefix_similarity.txt","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","aeaa5eecec921619ca624f10fbd48800565de9a79a16512009351ef6d7200c4c"
"scripts/run_alfworld.sh","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","438b26e938b7ef5c893d4fd35fd23b0ac822896dfc2f3f0c320c46d5c51b6f51"
"scripts/run_searchqa.sh","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","50cc9b63a1106307776a388d1ad23a82fecb655c49dcdb97de6cf0b5acfd171a"
"scripts/run_spreadsheetbench.sh","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","141a2ad5b769f8aa63ec07e57806a0bf0ca448f27788e66565004dcc56b8e65f"
"scripts/smoke_joint_soft_prefix_v2.py","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","d9a97af55b48a6d745704eed0f7d871073374043abb2fe025ecbf6a25e0528ca"
"scripts/smoke_shared_task_soft_prefix.py","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","c7182fc1709ef2eb63339736ef8ffea98542b8d873d57b72113e55b1b6301d3f"
"scripts/summarize_experiments.py","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","5abdb162457bb0f91a10320d5ec12f83bb3648fed2e3efcb1c6cbcdf8abc1786"
"scripts/train.py","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","5043d4aefb6daaaca76475e15fba77e11f78b0e1889a83191ca7b564c4fe4a64"
"scripts/train/eval_soft_prefix.sh","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","4f0870f033aba947c05291e91fb729b464c3a6d68899a057f7c2f97f2d22baad"
"scripts/train/start_server.sh","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","293f28ee25a6765e37b57cc5a2daef6116c6e6703f01717a2d3bbad67c155d79"
"scripts/train/train_soft_prefix.sh","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","93804c037328893ed05eeb40fb2c972fb6317c1a67ac68fb12ecd3c934c6d918"
"scripts/train_joint_soft_prefix_v2.py","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","51264abf320c9eb6f8da8fa726f7d11a50da7aeea774db3bd16ad48ba6d4ad6e"
"scripts/train_joint_two_prefix.py","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","0aa2e80db0062713f420d9f1df3bea1bb8c7513a8ccd46d8cfd0711f548c2887"
"scripts/train_shared_task_soft_prefix.py","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","68413dc7a3f79e9e49704cd551f0af651f0198516da5df853f4d9cdb2dddadce"
"scripts/train_soft_prefix.py","upstream_modified_locally","Tracked by upstream/main and modified in this working tree","828a53cf091dbac0735967c973b4543bc4048508af8738d202b88836b90bdf5c"
